row,zipcode,state,lat,long
1,1001,MA,42.06,-72.61
2,1002,MA,42.37,-72.52
3,1002,MA,42.37,-72.52
4,1013,MA,42.17,-72.57
5,1027,MA,42.26,-72.68
6,1050,MA,42.23,-72.88
7,1057,MA,42.09,-72.31
8,1069,MA,42.16,-72.32
9,1085,MA,42.13,-72.75
10,1085,MA,42.13,-72.75
11,1085,MA,42.13,-72.75
12,1085,MA,42.13,-72.75
13,1119,MA,42.11,-72.53
14,1301,MA,42.58,-72.59
15,1360,MA,42.7,-72.43
16,1364,MA,42.59,-72.3
17,1420,MA,42.58,-71.81
18,1420,MA,42.58,-71.81
19,1420,MA,42.58,-71.81
20,1430,MA,42.63,-71.9
21,1431,MA,42.68,-71.81
22,1440,MA,42.58,-71.98
23,1440,MA,42.58,-71.98
24,1453,MA,42.51,-71.77
25,1460,MA,42.53,-71.47
26,1462,MA,42.59,-71.72
27,1462,MA,42.59,-71.72
28,1473,MA,42.55,-71.9
29,1501,MA,42.2,-71.83
30,1510,MA,42.41,-71.68
31,1542,MA,42.2,-71.9
32,1550,MA,42.08,-72.03
33,1562,MA,42.24,-71.99
34,1566,MA,42.09,-72.06
35,1570,MA,42.04,-71.87
36,1570,MA,42.04,-71.87
37,1602,MA,42.26,-71.8
38,1605,MA,42.26,-71.8
39,1606,MA,42.26,-71.8
40,1606,MA,42.26,-71.8
41,1606,MA,42.26,-71.8
42,1701,MA,42.3,-71.43
43,1720,MA,42.48,-71.46
44,1721,MA,42.25,-71.46
45,1731,MA,42.46,-71.28
46,1748,MA,42.22,-71.52
47,1752,MA,42.34,-71.54
48,1752,MA,42.34,-71.54
49,1776,MA,42.36,-71.4
50,1776,MA,42.36,-71.4
51,1810,MA,42.65,-71.14
52,1821,MA,42.55,-71.26
53,1821,MA,42.55,-71.26
54,1826,MA,42.66,-71.3
55,1826,MA,42.66,-71.3
56,1844,MA,42.71,-71.18
57,1851,MA,42.63,-71.32
58,1852,MA,42.63,-71.32
59,1862,MA,42.57,-71.29
60,1879,MA,42.68,-71.41
61,1886,MA,42.58,-71.43
62,1890,MA,42.45,-71.14
63,1905,MA,42.47,-70.96
64,1905,MA,42.47,-70.96
65,1907,MA,42.46,-70.89
66,1923,MA,42.57,-70.95
67,1930,MA,42.62,-70.66
68,1966,MA,42.64,-70.61
69,1970,MA,42.51,-70.9
70,2052,MA,42.18,-71.3
71,2093,MA,42.06,-71.33
72,2093,MA,42.06,-71.33
73,2116,MA,42.35,-71.06
74,2127,MA,42.35,-71.06
75,2129,MA,42.38,-71.06
76,2132,MA,42.28,-71.16
77,2139,MA,42.37,-71.11
78,2141,MA,42.37,-71.11
79,2144,MA,42.39,-71.1
80,2144,MA,42.39,-71.1
81,2150,MA,42.39,-71.03
82,2155,MA,42.42,-71.1
83,2169,MA,42.26,-71
84,2184,MA,42.2,-71
85,2302,MA,42.08,-71.02
86,2341,MA,42.06,-70.85
87,2346,MA,41.86,-70.9
88,2360,MA,41.95,-70.66
89,2360,MA,41.95,-70.66
90,2360,MA,41.95,-70.66
91,2364,MA,41.99,-70.71
92,2368,MA,42.17,-71.05
93,2446,MA,42.32,-71.14
94,2452,MA,42.38,-71.24
95,2453,MA,42.38,-71.24
96,2466,MA,42.34,-71.24
97,2472,MA,42.36,-71.17
98,2472,MA,42.36,-71.17
99,2474,MA,42.41,-71.16
100,2542,MA,41.75,-70.61
101,2563,MA,41.75,-70.49
102,2601,MA,41.65,-70.29
103,2653,MA,41.79,-70
104,2668,MA,41.7,-70.37
105,2703,MA,41.93,-71.29
106,2721,MA,41.71,-71.1
107,2723,MA,41.71,-71.1
108,2747,MA,41.64,-71
109,2748,MA,41.55,-70.98
110,2760,MA,41.97,-71.33
111,2766,MA,41.96,-71.18
112,2771,MA,41.81,-71.33
113,2809,RI,41.67,-71.27
114,2813,RI,41.38,-71.65
115,2813,RI,41.38,-71.65
116,2816,RI,41.68,-71.66
117,2816,RI,41.68,-71.66
118,2817,RI,41.63,-71.65
119,2827,RI,41.69,-71.74
120,2830,RI,41.96,-71.67
121,2830,RI,41.96,-71.67
122,2852,RI,41.55,-71.46
123,2859,RI,41.95,-71.7
124,2859,RI,41.95,-71.7
125,2860,RI,41.87,-71.37
126,2860,RI,41.87,-71.37
127,2861,RI,41.87,-71.37
128,2864,RI,41.94,-71.41
129,2893,RI,41.69,-71.51
130,2893,RI,41.69,-71.51
131,2906,RI,41.82,-71.41
132,2910,RI,41.76,-71.48
133,2910,RI,41.76,-71.48
134,2914,RI,41.8,-71.35
135,2915,RI,41.77,-71.35
136,2916,RI,41.84,-71.35
137,2919,RI,41.81,-71.46
138,3036,NH,42.95,-71.25
139,3038,NH,42.89,-71.28
140,3038,NH,42.89,-71.28
141,3049,NH,42.73,-71.58
142,3051,NH,42.76,-71.43
143,3051,NH,42.76,-71.43
144,3052,NH,42.83,-71.46
145,3052,NH,42.83,-71.46
146,3053,NH,42.85,-71.36
147,3054,NH,42.86,-71.48
148,3060,NH,42.74,-71.49
149,3062,NH,42.74,-71.49
150,3064,NH,42.74,-71.49
151,3064,NH,42.74,-71.49
152,3102,NH,42.99,-71.45
153,3102,NH,42.99,-71.45
154,3103,NH,42.99,-71.45
155,3104,NH,42.99,-71.45
156,3106,NH,43.09,-71.45
157,3276,NH,43.44,-71.58
158,3276,NH,43.44,-71.58
159,3301,NH,43.23,-71.56
160,3301,NH,43.23,-71.56
161,3301,NH,43.23,-71.56
162,3446,NH,42.86,-72.28
163,3446,NH,42.86,-72.28
164,3741,NH,43.64,-72.01
165,3801,NH,43.05,-70.78
166,3810,NH,43.48,-71.24
167,3820,NH,43.19,-70.87
168,3845,NH,44.15,-71.06
169,3849,NH,43.89,-71.14
170,3867,NH,43.3,-70.97
171,3874,NH,42.89,-70.87
172,3878,NH,43.25,-70.88
173,4011,ME,43.91,-69.96
174,4027,ME,43.39,-70.85
175,4043,ME,43.38,-70.54
176,4051,ME,44.12,-70.89
177,4061,ME,43.63,-70.73
178,4073,ME,43.44,-70.78
179,4074,ME,43.59,-70.33
180,4084,ME,43.73,-70.55
181,4090,ME,43.32,-70.58
182,4092,ME,43.69,-70.35
183,4092,ME,43.69,-70.35
184,4092,ME,43.69,-70.35
185,4093,ME,43.66,-70.6
186,4105,ME,43.72,-70.24
187,4210,ME,44.08,-70.24
188,4222,ME,43.92,-70.12
189,4348,ME,44.2,-69.45
190,4350,ME,44.13,-69.96
191,4354,ME,44.4,-69.47
192,4401,ME,44.83,-68.78
193,4401,ME,44.83,-68.78
194,4468,ME,44.95,-68.73
195,4496,ME,44.65,-68.85
196,4535,ME,44.1,-69.6
197,4605,ME,44.58,-68.49
198,4660,ME,44.31,-68.36
199,4743,ME,47.26,-68.57
200,4769,ME,46.68,-67.98
201,4841,ME,44.12,-69.13
202,4841,ME,44.12,-69.13
203,4843,ME,44.2,-69.06
204,4901,ME,44.56,-69.55
205,4901,ME,44.56,-69.55
206,4938,ME,44.66,-70.14
207,4949,ME,44.38,-69.3
208,4957,ME,44.71,-69.79
209,4963,ME,44.55,-69.71
210,4973,ME,44.36,-69.19
211,4976,ME,44.77,-69.71
212,5036,VT,44.05,-72.6
213,5089,VT,43.48,-72.42
214,5201,VT,42.87,-73.18
215,5301,VT,42.86,-72.57
216,5301,VT,42.86,-72.57
217,5404,VT,44.49,-73.18
218,5408,VT,44.48,-73.27
219,5408,VT,44.48,-73.27
220,5452,VT,44.49,-73.11
221,5452,VT,44.49,-73.11
222,5452,VT,44.49,-73.11
223,5456,VT,44.2,-73.25
224,5468,VT,44.63,-73.11
225,5472,VT,44.12,-73.15
226,5477,VT,44.4,-73
227,5491,VT,44.16,-73.25
228,5641,VT,44.2,-72.5
229,5663,VT,44.15,-72.65
230,5674,VT,44.12,-72.85
231,5731,VT,43.72,-73.32
232,5743,VT,43.59,-73.27
233,5774,VT,43.42,-73.2
234,5826,VT,44.63,-72.37
235,5906,VT,44.47,-71.68
236,6001,CT,41.8,-72.83
237,6013,CT,41.76,-72.96
238,6013,CT,41.76,-72.96
239,6032,CT,41.71,-72.83
240,6037,CT,41.62,-72.77
241,6062,CT,41.66,-72.9
242,6062,CT,41.66,-72.9
243,6062,CT,41.66,-72.9
244,6066,CT,41.84,-72.45
245,6066,CT,41.84,-72.45
246,6074,CT,41.81,-72.61
247,6085,CT,41.75,-72.88
248,6106,CT,41.76,-72.68
249,6109,CT,41.7,-72.67
250,6111,CT,41.68,-72.73
251,6111,CT,41.68,-72.73
252,6118,CT,41.76,-72.61
253,6268,CT,41.8,-72.25
254,6360,CT,41.55,-72.08
255,6370,CT,41.46,-72.18
256,6370,CT,41.46,-72.18
257,6370,CT,41.46,-72.18
258,6370,CT,41.46,-72.18
259,6371,CT,41.31,-72.34
260,6374,CT,41.67,-71.92
261,6375,CT,41.4,-72.12
262,6377,CT,41.7,-71.83
263,6378,CT,41.33,-71.9
264,6382,CT,41.45,-72.12
265,6385,CT,41.34,-72.14
266,6385,CT,41.34,-72.14
267,6415,CT,41.57,-72.33
268,6422,CT,41.47,-72.68
269,6450,CT,41.53,-72.79
270,6461,CT,41.23,-73.08
271,6468,CT,41.36,-73.2
272,6489,CT,41.6,-72.88
273,6492,CT,41.44,-72.81
274,6511,CT,41.31,-72.92
275,6512,CT,41.29,-72.86
276,6605,CT,41.18,-73.19
277,6608,CT,41.18,-73.19
278,6776,CT,41.58,-73.4
279,6790,CT,41.83,-73.12
280,6791,CT,41.75,-73.05
281,6801,CT,41.37,-73.41
282,6801,CT,41.37,-73.41
283,6810,CT,41.4,-73.47
284,6851,CT,41.09,-73.42
285,6877,CT,41.27,-73.49
286,6903,CT,41.09,-73.55
287,6906,CT,41.09,-73.55
288,6906,CT,41.09,-73.55
289,7003,NJ,40.81,-74.18
290,7005,NJ,40.9,-74.4
291,7005,NJ,40.9,-74.4
292,7012,NJ,40.86,-74.15
293,7012,NJ,40.86,-74.15
294,7013,NJ,40.86,-74.15
